rise,down,freq,ma_window,total_return,yearly_vol,maxdrawdown,sharpe,max_loss_period,hold_time,start_date,end_date
0.065,-0.075,30.0,100,2.6284926060847202,0.8219788992264853,0.8589467984649715,1.7789599026828593,1.4288812785388127,1.7975456621004566,2020-01-01,2022-07-31
0.05,-0.035,30.0,50,2.624365086262474,0.6812615261272617,0.5470159951342053,2.025108370029101,0.42197488584474885,1.9022260273972602,2020-01-01,2022-07-31
0.06,-0.065,30.0,50,2.617493795486743,0.712546546227319,0.6192838998623222,1.7814540477273353,0.6833333333333333,2.0620433789954338,2020-01-01,2022-07-31
0.07,-0.08,30.0,50,2.6174314046585976,0.8544942148164716,0.8438957874309447,1.4467994148225491,1.4288812785388127,2.1171803652968038,2020-01-01,2022-07-31
0.06,-0.065,15.0,50,2.610194994907701,0.7261644131018131,0.7099360599430424,1.7693990955575867,0.6707762557077626,2.031478310502283,2020-01-01,2022-07-31
0.07,-0.085,15.0,50,2.6058430722263184,0.83524656200001,0.7620878128323916,1.4575156744511808,0.8673230593607306,2.1405251141552513,2020-01-01,2022-07-31
0.05,-0.06,15.0,50,2.605032828278572,0.7238493734552705,0.5932128427887954,1.8343210259793963,0.650513698630137,1.9619577625570777,2020-01-01,2022-07-31
0.04,-0.075,30.0,50,2.604839935014063,0.7324315281645196,0.5928512647073966,1.7785692669418736,0.6812214611872146,1.9996004566210046,2020-01-01,2022-07-31
0.075,-0.08,30.0,50,2.6021509648163073,0.8565594691683055,0.8410261537104673,1.4218901242987572,1.43236301369863,2.136529680365297,2020-01-01,2022-07-31
0.06,-0.07,30.0,0,2.601534990793487,0.8633873124860167,1.1109561676703277,1.1853774313184051,1.3460616438356163,2.5419520547945207,2020-01-01,2022-07-31
0.08,-0.09,30.0,50,2.600141070900849,0.9083258803536576,1.2132155992660898,1.3292372996429573,1.559189497716895,2.153538812785388,2020-01-01,2022-07-31
0.08,-0.1,30.0,50,2.5971700919048746,0.9062694203503479,1.0406227997365587,1.3274943411862328,1.559189497716895,2.1587899543378994,2020-01-01,2022-07-31
0.055,-0.085,15.0,0,2.587299961367666,0.9253090932408935,0.7756855643929097,1.1001479949477253,1.0826198630136985,2.5416095890410957,2020-01-01,2022-07-31
0.045,-0.075,15.0,100,2.5839161368472343,0.7277883974861077,0.7056046763155072,2.094040812499753,0.7025399543378995,1.6954623287671233,2020-01-01,2022-07-31
0.045,-0.07,15.0,50,2.5805072591557963,0.7301451111399535,0.5504272416984181,1.776983129565111,0.6693778538812786,1.988898401826484,2020-01-01,2022-07-31
0.07,-0.1,30.0,50,2.562693867102603,0.9046816345942505,1.0750990245388312,1.314743737954147,1.559189497716895,2.154566210045662,2020-01-01,2022-07-31
0.09,-0.09,30.0,200,2.562543944226969,1.2025138025882876,2.086282943994835,1.1689448964316531,1.559189497716895,1.8230022831050228,2020-01-01,2022-07-31
0.055,-0.1,30.0,100,2.5604819949833764,0.868679590865646,1.0402147999300992,1.5633684384823379,1.382876712328767,1.8853881278538813,2020-01-01,2022-07-31
0.05,-0.045,30.0,50,2.5589300521585385,0.6729818089233245,0.5087039560598288,1.9752018274991037,0.45633561643835613,1.9250570776255707,2020-01-01,2022-07-31
0.05,-0.085,15.0,200,2.5576809358506334,0.7855460071500198,0.8546271601427464,2.27756335451905,1.3828481735159817,1.429566210045662,2020-01-01,2022-07-31
0.065,-0.065,30.0,100,2.5506803615897766,0.7406466792322888,0.7698050439887982,1.928726580114061,0.9687214611872146,1.7855593607305935,2020-01-01,2022-07-31
0.085,-0.1,30.0,0,2.5491349013912723,1.2310934052011893,2.780098368422464,0.8278915575328285,1.559189497716895,2.5010844748858445,2020-01-01,2022-07-31
0.09,-0.095,15.0,0,2.548690622488924,1.33973376001709,3.003274627327221,0.7607112125898694,1.5591609589041096,2.500799086757991,2020-01-01,2022-07-31
0.075,-0.085,15.0,50,2.5447567404247735,0.8357288832534829,0.7620878128324009,1.4176694297642556,0.8673801369863013,2.147859589041096,2020-01-01,2022-07-31
